"","uid","X","stuNum2","gpa.all","X.x","DTW","X.y","stuNum"
"1","u02",2,0,3.505,2,0.48797442975112,2,0
"2","u04",4,0,3.029,4,12.272232657815,4,0
"3","u05",5,0,3.679,5,1.47824581408463,5,0
"4","u07",6,0,3.474,6,0.648928692904559,6,0
"5","u08",7,0,3.705,7,0.279932013252223,7,64
"6","u09",8,0,3.806,8,2.52153600939062,8,0
"7","u10",9,0,3.667,9,0.0468045431663568,9,0
"8","u12",10,0,3.245,10,20.087237393852,10,0
"9","u14",12,0,3.293,12,3.77622564548144,12,64
"10","u15",13,0,2.815,13,11.55238998923,13,0
"11","u16",14,0,3.373,14,0.106900794482649,14,0
"12","u17",15,0,3.476,15,0.0724059091656414,15,0
"13","u18",16,0,3.474,16,2.70573568243697,16,0
"14","u19",17,0,3.947,17,0.1841763302134,17,0
"15","u22",19,0,3.889,19,94.4325442571509,19,0
"16","u24",21,32,2.987,21,0.12835950556011,21,32
"17","u25",22,46,2.765,22,6.33590078725355,22,46
"18","u27",23,66,3.719,23,0.0506928864499993,23,66
"19","u30",24,64,3.93,24,34.2491761035732,24,64
"20","u32",26,49,3.826,26,4.12152574092567,26,49
"21","u33",27,47,2.815,27,0.0798655935407989,27,47
"22","u41",32,55,3.652,32,0.0672757250908856,32,55
"23","u43",34,58,3.79,34,9.08439588049602,34,58
"24","u46",37,55,3.646,37,4.89615396696815,37,55
"25","u49",39,57,3.625,39,7.14093832360018,39,57
"26","u52",42,66,2.4,42,0.154060609413092,42,66
"27","u54",44,48,3.343,44,40.7005823378273,44,0
"28","u57",46,0,3.389,46,23.1501508239799,46,0
"29","u59",48,0,3.519,48,55.7816499803992,48,0
